ID,Name,Type
1,Alexander Wehrle,Person
2,Dr. Thomas Ignatzi,Person
3,Rouven Kasper,Person
4,Fabian Wohlgemuth,Person
5,Vorstand VfB Stuttgart 1893 AG,Gremium
6,Dietmar Allgaier,Person
7,Peter Schymon,Person
8,Lutz Meschke,Person
9,Andreas Grupp,Person
10,Beate Beck-Deharde,Person
11,Tanja Gönner,Person
12,Alexander Kläger,Person
13,Tobias Röschl,Person
14,Albrecht Reimold,Person
15,Franz Reiner,Person
16,Aufsichtsrat VfB Stuttgart 1893 AG,Gremium
