from,to
Alexander_Wehrle,Mercedes-Benz_Group
Lutz_Meschke,Porsche_AG
Peter_Schymon,Mercedes-Benz_Group
Beate_Beck-Deharde,Beck_Packautomaten
Tanja_Gönner,BDI
Alexander_Kläger,SAP
Dietmar_Allgaier,Landkreis_Ludwigsburg
